Brand,Seller_ID,Avg_Price,Min_Price,Max_Price,Total_Listings,Price_Tendency
Intel,atg_pc,173.99,119.99,339.99,5,Price Spike
HP,atg_pc,144.99,119.99,169.99,2,Stable Price
Dell,bargain.boutique,185.0,185.0,185.0,1,Stable Price
Dell,eworkscomputersolutions,314.1,314.1,314.1,1,Stable Price
Dell,badgerelectronics,359.99,359.99,359.99,1,Stable Price
Toshiba,motormaster17,100.0,100.0,100.0,1,Stable Price
Dell,jcs_computer_store,249.0,249.0,249.0,1,Stable Price
HP,jcs_computer_store,115.38,100.29,127.49,4,Stable Price
Intel,jcs_computer_store,154.71,125.0,169.99,3,Stable Price
Dell,tech2_4sale,209.99,179.99,249.99,3,Stable Price
Intel,tech2_4sale,262.49,262.49,262.49,1,Stable Price
ThinkPad,tech2_4sale,199.99,199.99,199.99,1,Stable Price
Intel,kaltech_electronics,149.59,149.59,149.59,1,Stable Price
Intel,natspuffers,359.0,359.0,359.0,1,Stable Price
Intel,pawnsg,120.0,120.0,120.0,1,Stable Price
HP,jordybugsresale,174.95,174.95,174.95,1,Stable Price
Dell,csk757,299.0,299.0,299.0,1,Stable Price
Lenovo,lenovo,466.18,329.99,609.99,3,Price Spike
Dell,wirelesstechnostore,219.95,219.95,219.95,1,Stable Price
ThinkPad,wirelesstechnostore,599.99,599.99,599.99,1,Stable Price
Lenovo,mesocloud,249.99,249.99,249.99,1,Stable Price
Asus,awesome.bargains,143.0,143.0,143.0,1,Stable Price
Lenovo,laptop4less_us,210.0,210.0,210.0,1,Stable Price
HP,dr.hejar1,120.0,120.0,120.0,1,Stable Price
Intel,the_unbeatable_pc_sale,119.99,119.99,119.99,1,Stable Price
Dell,the_unbeatable_pc_sale,275.0,275.0,275.0,1,Stable Price
Dell,globalshopcse,290.5,290.5,290.5,1,Stable Price
Dell,spreetail-deals,261.27,212.04,310.5,2,Stable Price
ThinkPad,fjdeals,182.46,182.46,182.46,1,Stable Price
ThinkPad,it_xchange,223.24,223.24,223.24,1,Stable Price
HP,risingsungaming,153.61,105.12,202.1,2,Price Spike
Lenovo,risingsungaming,188.65,105.12,408.46,11,Price Spike
ThinkPad,risingsungaming,171.03,149.69,192.38,2,Stable Price
Asus,risingsungaming,134.78,134.78,134.78,1,Stable Price
Apple,punkdoptedhead,140.0,140.0,140.0,1,Stable Price
Fujitsu,fujiyama00,170.0,170.0,170.0,1,Stable Price
Asus,stonepelican,179.98,179.98,179.98,1,Stable Price
ThinkPad,electronicdepot79,199.99,199.99,199.99,1,Stable Price
HP,allstore-up,315.63,148.19,550.04,9,Price Spike
Intel,allstore-up,439.46,260.29,567.14,5,Price Spike
Dell,allstore-up,621.29,621.29,621.29,1,Stable Price
Intel,stock4less,140.99,140.99,140.99,1,Stable Price
Dell,stock4less,264.94,139.9,389.99,2,Price Spike
ThinkPad,stock4less,149.99,149.99,149.99,1,Stable Price
Intel,3rtechnology,239.0,239.0,239.0,1,Stable Price
ThinkPad,3rtechnology,219.0,219.0,219.0,1,Stable Price
Dell,3rtechnology,379.0,379.0,379.0,1,Stable Price
HP,3rtechnology,291.0,199.0,359.0,5,Price Spike
Dell,prime-techno,304.71,224.95,399.45,6,Price Spike
Intel,negitan.shop.japan,220.99,220.99,220.99,1,Stable Price
Apple,reshoevn8r,550.0,550.0,550.0,1,Stable Price
Lenovo,electrojungle,199.0,199.0,199.0,1,Stable Price
Intel,llayag,279.99,279.99,279.99,1,Stable Price
Intel,auctioneersdeals,517.74,517.74,517.74,1,Stable Price
Acer,auctioneersdeals,244.36,244.36,244.36,1,Stable Price
HP,icellthings,115.0,115.0,115.0,1,Stable Price
Dell,fortwayne2010,267.99,135.99,399.99,2,Price Spike
HP,fortwayne2010,372.5,345.0,399.99,2,Stable Price
Intel,freshfinds.online,615.0,615.0,615.0,1,Stable Price
Dell,dspc99,179.0,179.0,179.0,1,Stable Price
Acer,naztar_0,352.66,352.66,352.66,1,Stable Price
Dell,ehrebarb,189.99,189.99,189.99,1,Stable Price
Intel,ehrebarb,299.99,299.99,299.99,1,Stable Price
HP,toyarcade,124.95,124.95,124.95,1,Stable Price
ThinkPad,toyarcade,121.46,121.46,121.46,1,Stable Price
Dell,ivancito16,155.99,155.99,155.99,1,Stable Price
HP,qctech150pc,143.99,143.99,143.99,1,Stable Price
Dell,americanrecycling,123.59,123.59,123.59,1,Stable Price
HP,cheapthrillstuff,269.0,269.0,269.0,1,Stable Price
Dell,ezpawncorpnyc,349.99,349.99,349.99,1,Stable Price
HP,shop_mcbia,115.0,115.0,115.0,1,Stable Price
HP,ibuystuffantiques,109.99,109.99,109.99,1,Stable Price
ThinkPad,echoeelectronic,460.0,460.0,460.0,1,Stable Price
Dell,corpreccouncil,109.99,109.99,109.99,1,Stable Price
ThinkPad,unitedcaravans,399.99,399.99,399.99,1,Stable Price
Microsoft,device-refresh,282.49,194.99,369.99,2,Price Spike
Acer,device-refresh,129.99,129.99,129.99,1,Stable Price
Dell,device-refresh,333.14,249.13,417.15,2,Price Spike
HP,tvhelec80,109.99,109.99,109.99,1,Stable Price
HP,andresells,229.99,229.99,229.99,1,Stable Price
Panasonic,medmart,149.99,149.99,149.99,1,Stable Price
Dell,1331sales,150.0,150.0,150.0,1,Stable Price
HP,lifesabeach1972,563.95,563.95,563.95,1,Stable Price
HP,a_different_store,249.99,249.99,249.99,1,Stable Price
Asus,tfldealz,264.47,216.97,311.97,2,Stable Price
Lenovo,tfldealz,398.47,278.97,517.97,2,Price Spike
Dell,tfldealz,209.73,195.49,223.97,2,Stable Price
Intel,tfldealz,328.49,328.49,328.49,1,Stable Price
Inspiron,tfldealz,362.97,362.97,362.97,1,Stable Price
Intel,escorecycling,145.0,145.0,145.0,1,Stable Price
ThinkPad,escorecycling,195.0,195.0,195.0,1,Stable Price
Intel,nbd-direct,178.99,178.99,178.99,1,Stable Price
Intel,onestop4laptops,199.95,199.95,199.95,1,Stable Price
Dell,onestop4laptops,139.95,139.95,139.95,1,Stable Price
Dell,electrocycle-llc,179.99,179.99,179.99,1,Stable Price
Dell,waukegancomputer,600.0,600.0,600.0,1,Stable Price
Dell,tnyt45,119.0,119.0,119.0,1,Stable Price
ThinkPad,relite.io,125.0,125.0,125.0,1,Stable Price
HP,estoreva1,129.99,129.99,129.99,1,Stable Price
ThinkPad,attamaru,154.43,154.43,154.43,1,Stable Price
Panasonic,attamaru,218.95,178.2,259.7,2,Stable Price
Lenovo,shsar-75,460.42,321.19,599.65,2,Price Spike
HP,reminiscetoy,250.0,250.0,250.0,1,Stable Price
Dell,andrewsky1985,140.0,140.0,140.0,1,Stable Price
Intel,new.techies,589.0,589.0,589.0,1,Stable Price
Dell,new.techies,460.67,179.0,669.0,6,Price Spike
Lenovo,new.techies,489.0,489.0,489.0,2,Stable Price
